Concept Id	CPT Code	Consumer Friendly Descriptor
1002982	01120	Anesthesia for procedure on pelvic bone
1002983	01130	Anesthesia for application or revision of body cast
1002984	01140	Anesthesia for amputation of leg including pelvic bone
1002985	01150	Anesthesia for removal of pelvic bone tumor
1002986	01160	Anesthesia for procedure on pubic bone or sacroiliac joint
1002987	01170	Anesthesia for open procedure on pubic bone or sacroiliac joint
1002988	01173	Anesthesia for open repair of pelvic fracture
1002993	01200	Anesthesia for closed procedure on hip joint
1002994	01202	Anesthesia for procedure on hip joint using an endoscope
1002996	01210	Anesthesia for open surgical procedure on hip joint
1002997	01212	Anesthesia for open hip joint dislocation
1002998	01214	Anesthesia for open total hip joint replacement
1002999	01215	Anesthesia for open revision of total hip joint replacement
1003000	01220	Anesthesia for closed procedure on upper two-thirds of thigh bone
1003002	01230	Anesthesia for open procedure on upper two-thirds of thigh bone
1003003	01232	Anesthesia for open amputation at upper two-thirds of thigh bone
1003004	01234	Anesthesia for open removal of muscle or tissue at upper two-thirds of thigh bone
1003005	01250	Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg
1003006	01260	Anesthesia for procedure on veins of upper leg
1003008	01270	Anesthesia for procedure on arteries of upper leg
1003009	01272	Anesthesia for groin artery bypass graft and tying of upper leg artery
1003010	01274	Anesthesia for removal of groin artery blood clot
1003012	01320	Anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee
1003013	01340	Anesthesia for closed procedure on lower one-third of thigh bone
1003014	01360	Anesthesia for open procedure on lower one-third of thigh bone
1003015	01380	Anesthesia for closed procedure on knee joint
1003016	01382	Anesthesia for diagnostic examination of knee joint using an endoscope
1003017	01390	Anesthesia for closed procedure at kneecap and/or upper foreleg bones
1003018	01392	Anesthesia for open procedure at kneecap and upper foreleg bones
1003020	01400	Anesthesia for open or endoscopic procedure on knee including
1003021	01402	Anesthesia for open or endoscopic total knee joint replacement
1003022	01404	Anesthesia for open or endoscopic procedure of dislocated knee
1003023	01420	Anesthesia for knee joint cast application, removal, or repair
1003025	01430	Anesthesia for procedure on knee veins
1003026	01432	Anesthesia for repair of abnormal artery-vein formation of knee
1003028	01440	Anesthesia for procedure on knee arteries
1003029	01442	Anesthesia for removal of blood clot in artery behind knee
1003030	01444	Anesthesia for repair of bulging (aneurysm) defect in knee artery
1003032	01462	Anesthesia for closed procedure on lower leg, ankle, and foot
1003033	01464	Anesthesia for procedure on ankle and/or foot using an endoscope
1003035	01470	Anesthesia for procedure on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot
1003036	01472	Anesthesia for procedure to repair calf muscle tendon
1003037	01474	Anesthesia for procedure to repair calf muscle
1003039	01480	Anesthesia for open procedure on bones of lower leg, ankle and foot
1003040	01482	Anesthesia for open amputation below the knee
1003041	01484	Anesthesia for open reconstruction of lower leg, ankle, and/or foot bone
1003042	01486	Anesthesia for open total ankle joint replacement
1003043	01490	Anesthesia for lower leg cast application, removal, or repair
1003045	01500	Anesthesia for procedure on arteries of lower leg including bypass graft
1003046	01502	Anesthesia for lower leg artery bypass graft or blood clot removal
1003048	01520	Anesthesia for procedure on veins of lower leg
1003049	01522	Anesthesia for removal of lower leg vein obstruction
1003051	01610	Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm
1003052	01620	Anesthesia for closed procedure on upper arm bone and shoulder joint
1003053	01622	Anesthesia for diagnostic examination of shoulder joint using an endoscope
1003055	01630	Anesthesia for open or endoscopic procedure at upper arm and shoulder joint including
1003057	01634	Anesthesia for open or endoscopic procedure of dislocated shoulder joint
1003058	01636	Anesthesia for open or endoscopic amputation of arm, shoulder blade, and collar bone
1003059	01638	Anesthesia for open or endoscopic total shoulder joint replacement
1003061	01650	Anesthesia for procedure on arteries of shoulder and underarm
1003062	01652	Anesthesia for repair of bulging (aneurysm) defect in upper arm artery
1003063	01654	Anesthesia for bypass graft in shoulder or underarm artery
1003064	01656	Anesthesia for bypass graft from groin artery to shoulder or underarm artery
1003065	01670	Anesthesia for procedure on veins of shoulder and underarm
1003067	01680	Anesthesia for cast application, removal or repair
1003071	01710	Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow
1003072	01712	Anesthesia for open incision of elbow to shoulder tendon
1003073	01714	Anesthesia for repair of elbow to shoulder tendon
1003074	01716	Anesthesia for suture of upper arm and elbow tendon to bone
1003075	01730	Anesthesia for closed procedure on upper arm and elbow
1003076	01732	Anesthesia for diagnostic examination of elbow joint using an endoscope
1003078	01740	Anesthesia for open or endoscopic procedure on elbow
1003079	01742	Anesthesia for open or endoscopic procedure at upper arm bone
1003080	01744	Anesthesia for open or endoscopic repair of non-healed fracture of upper arm bone
1003081	01756	Anesthesia for open or endoscopic surgical procedure on elbow
1003082	01758	Anesthesia for open or endoscopic removal cyst or tumor of upper arm
1003083	01760	Anesthesia for open or endoscopic total elbow joint replacement
1003085	01770	Anesthesia for procedure on arteries of upper arm and elbow
1003086	01772	Anesthesia for removal of blood clot from upper arm or elbow artery
1003088	01780	Anesthesia for procedure on veins of upper arm and elbow
1003089	01782	Anesthesia for suture of upper arm or elbow vein
1003091	01810	Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand
1003092	01820	Anesthesia for closed procedure on bones of forearm, wrist, or hand
1003093	01829	Anesthesia for diagnostic examination of the wrist using an endoscope
1003095	01830	Anesthesia for open or endoscopic procedure on bones of forearm, wrist, or hand
1003096	01832	Anesthesia for open or endoscopic total wrist joint replacement
1003098	01840	Anesthesia for procedure on arteries of forearm, wrist, and hand
1003099	01842	Anesthesia for removal of blood clot from forearm, wrist, or hand artery
1003100	01844	Anesthesia for placement or revision of blood flow shunt
1003102	01850	Anesthesia for procedure on veins of forearm, wrist, and hand
1003103	01852	Anesthesia for suture of forearm, wrist, or hand vein
1003104	01860	Anesthesia for forearm, wrist, or hand cast application, removal or repair
1003107	01916	Anesthesia for diagnostic X-ray procedure on arteries or veins
1003108	01920	Anesthesia for procedure on heart vessels and chambers
1003109	01922	Anesthesia for X-ray or radiation therapy
1003111	01924	Anesthesia for X-ray procedure on arteries
1003112	01925	Anesthesia for X-ray procedure on neck or heart artery
1003113	01926	Anesthesia for X-ray procedure on artery in brain, heart, or major vessel of chest (aorta)
1003115	01930	Anesthesia for X-ray procedure on vein or lymph system
1003116	01931	Anesthesia for X-ray procedure on liver vein
1003117	01932	Anesthesia for X-ray procedure on chest or neck vein
1003118	01933	Anesthesia for X-ray procedure on brain vein
1018250	01935	Anesthesia for diagnostic X-ray procedure (accessed through the skin) on spine and spinal cord
1018251	01936	Anesthesia for X-ray procedure (accessed through the skin) on spine and spinal cord
1003121	01951	Anesthesia for treatment of second and third-degree burn, less than 4% total body surface
1003122	01952	Anesthesia for treatment of second and third-degree burn, between 4% and 9% total body surface area
1003123	01953	Anesthesia for treatment of second and third-degree burn
1003125	01958	Anesthesia for procedure to turn the position of fetus in uterus
1003126	01960	Anesthesia for vaginal delivery
1003127	01961	Anesthesia for cesarean delivery
1003128	01962	Anesthesia for procedure to remove uterus following delivery
1003129	01963	Anesthesia for cesarean removal of uterus
1003130	01965	Anesthesia for incomplete or missed abortion
1003131	01966	Anesthesia for induced abortion
1003132	01967	Anesthesia for labor during planned vaginal delivery
1003133	01968	Anesthesia for cesarean delivery following labor
1003134	01969	Anesthesia for cesarean removal of uterus following labor
1003136	01990	Physiological support for harvesting of organs
1003138	01991	Anesthesia for nerve block and injection procedure
1003139	01992	Anesthesia for nerve block and injection procedure, prone position
1003141	01996	Daily hospital management of continuous spinal drug administration
1003142	01999	Anesthesia procedure
1034968	10004	Fine needle aspiration of additional lesion
1003146	10021	Fine needle aspiration of first lesion
1034969	10005	Fine needle aspiration of first lesion using ultrasound guidance
1034970	10006	Fine needle aspiration of additional lesion using ultrasound guidance
1034971	10007	Fine needle aspiration of first lesion using fluoroscopice guidance
1034972	10008	Fine needle aspiration of additional lesion using fluoroscopice guidance
1034973	10009	Fine needle aspiration of first lesion using CT guidance
1034974	10010	Fine needle aspiration of additional lesion using CT guidance
1034975	10011	Fine needle aspiration of first lesion using MR guidance
1034976	10012	Fine needle aspiration of additional lesion using MR guidance
1021256	10030	Fluid collection drainage by catheter using imaging guidance, accessed through the skin
1027681	10035	Placement of soft tissue localization device accessed through the skin with imaging guidance, first lesion
1027682	10036	Placement of soft tissue localization device accessed through the skin with imaging guidance
1003151	10040	Acne surgery
1003153	10060	Drainage of abscess
1003154	10061	Drainage of multiple abscess
1003156	10080	Drainage of tailbone cyst
1003157	10081	Drainage of tailbone cyst
1003159	10120	Removal of foreign body from tissue, accessed beneath the skin
1003160	10121	Removal of foreign body from tissue, accessed beneath the skin
1003161	10140	Drainage of blood or fluid accumulation
1003162	10160	Aspiration of abscess, blood accumulation, blister, or cyst
1003163	10180	Drainage of wound infection after surgery
1003166	11000	Removal of inflamed or infected skin, up to 10% of body surface
1003167	11001	Removal of inflamed or infected skin
1003169	11004	Removal of infected skin, tissue or muscle of genitals
1003170	11005	Removal of infected skin, tissue or muscle of abdomen
1003171	11006	Removal of infected skin, tissue or muscle of genitals, perineum, or abdomen
1003172	11008	Removal of infected artificial material or mesh from abdomen
1003174	11010	Removal of foreign material from skin and tissue at open fracture and/or dislocation
1003175	11011	Removal of foreign material from skin, tissue, and muscle at open fracture and/or dislocation
1003176	11012	Removal of foreign material from skin, tissue, muscle, and bone at open fracture and/or dislocation
1003180	11042	Removal of skin and tissue first 20 sq cm or less
1020308	11045	Removal of skin and tissue
1003181	11043	Removal of skin and/or muscle first 20 sq cm or less
1020309	11046	Removal of skin and/or muscle
1003182	11044	Removal of skin and bone first 20 sq cm or less
1020310	11047	Removal of skin and bone
1003185	11055	Removal of single thickened skin growth
1003186	11056	Removal of 2 to 4 thickened skin growths
1003187	11057	Removal of more than 4 thickened skin growths
1034977	11102	Tangential biopsy of single skin lesion
1034978	11103	Tangential biopsy of additional skin lesion
1034979	11104	Punch biopsy of single skin lesion
1034980	11105	Punch biopsy of additional skin lesion
1034981	11106	Incisional biopsy of single skin lesion
1034982	11107	Incisional biopsy of additional skin lesion
1003194	11200	Removal of up to and including 15 skin tags
1003195	11201	Removal of skin tags
1003198	11300	Shaving of 0.5 centimeters or less skin growth of the trunk, arms, or legs
1003199	11301	Shaving of 0.6 centimeters to 1.0 centimeters skin growth of the trunk, arms, or legs
1003200	11302	Shaving of 1.1 to 2.0 centimeters skin growth of the trunk, arms, or legs
1003201	11303	Shaving of over 2.0 centimeters skin growth of the trunk, arms, or legs
1003203	11305	Shaving of 0.5 centimeters or less skin growth of scalp, neck, hands, feet, or genitals
1003204	11306	Shaving of 0.6 centimeters to 1.0 centimeters skin growth of scalp, neck, hands, feet, or genitals
1003205	11307	Shaving of 1.1 to 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals
1003206	11308	Shaving of over 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals
1003208	11310	Shaving of 0.5 centimeters or less skin growth of face, ears, eyelids, nose, lips, or mouth
1003209	11311	Shaving of 0.6 centimeters to 1.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth
1003210	11312	Shaving of 1.1 to 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth
1003211	11313	Shaving of over 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth
1003214	11400	Removal of growth (0.5 centimeters or less) of the trunk, arms or legs
1003215	11401	Removal of growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs
1003216	11402	Removal of growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs
1003217	11403	Removal of growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs
1003218	11404	Removal of growth (3.1 to 4.0 centimeters) of the trunk, arms, or legs
1003219	11406	Removal of growth (4.0 centimeters) of the trunk, arms, or legs
1003221	11420	Removal of growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals
1003222	11421	Removal of growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003223	11422	Removal of growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003224	11423	Removal of growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003225	11424	Removal of growth (3.1 to 4.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003226	11426	Removal of growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003228	11440	Removal of growth (0.5 centimeters or less) of the face, ears, eyelids, nose, lips, or mouth
1003229	11441	Removal of growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth
1003230	11442	Removal of growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth
1003231	11443	Removal of growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth
1003232	11444	Removal (3.1 to 4.0 centimeters) growth of face, ears, eyelids, nose, lips, or mouth
1003233	11446	Removal (over 4.0 centimeters) growth of the face, ears, eyelids, nose, lips, or mouth
1003235	11450	Removal of skin and tissue beneath the skin of underarms for excessive sweating
1003236	11451	Removal of skin and tissue beneath the skin of underarms for excessive sweating
1003238	11462	Removal of skin and tissue beneath the skin of groin for excessive sweating
1003239	11463	Removal of skin and tissue beneath the skin of groin for excessive sweating
1003241	11470	Removal of skin and tissue beneath the skin of anus or navel for excessive sweating
1003242	11471	Removal of skin and tissue beneath the skin of anus or navel for excessive sweating
1003245	11600	Removal of malignant growth (0.5 centimeters or less) of the trunk, arms, or legs
1003246	11601	Removal of malignant growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs
1003247	11602	Removal of malignant growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs
1003248	11603	Removal of malignant growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs
1003249	11604	Removal of malignant growth (3.1 to 4 centimeters) of the trunk, arms, or legs
1003250	11606	Removal of malignant growth (over 4.0 centimeters) of the trunk, arms, or legs
1003252	11620	Removal of malignant growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals
1003253	11621	Removal of malignant growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003254	11622	Removal of malignant growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003255	11623	Removal of malignant growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003256	11624	Removal of malignant growth (3.1 to 4 centimeters) of the scalp, neck, hands, feet, or genitals
1003257	11626	Removal of malignant growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals
1003259	11640	Removal of malignant growth (0.5 centimeters or less) of the face, ears, eyelids, nose, or lips
1003260	11641	Removal of malignant growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, or lips
1003261	11642	Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips
1003262	11643	Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips
1003263	11644	Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips
1003264	11646	Removal of malignant growth (over 4.0 centimeters) of the face, ears, eyelids, nose, or lips
1003266	11719	Trimming of fingernails or toenails
1003268	11720	Removal of tissue from 1 to 5 finger or toe nails
1003269	11721	Removal of tissue from 6 or more finger or toe nails
1003271	11730	Separation of nail plate from nail bed
1003272	11732	Separation of nail plate from nail bed
1003273	11740	Removal of blood accumulation between nail and nail bed
1003274	11750	Removal of nail
1003276	11755	Biopsy of finger or toe nail
1003277	11760	Repair of finger or toe nail bed
1003278	11762	Repair of finger or toe nail bed with graft
1003279	11765	Removal of skin of finger or toe nail
1003282	11770	Removal of tailbone cyst
1003283	11771	Removal of tailbone cyst
1003284	11772	Removal of tailbone cyst
1003287	11900	Injection of up to 7 skin growths
1003288	11901	Injection of more than 7 skin growths
1003290	11920	Introduction of pigment into skin (6.0 sq cm or less) to correct color defect
1003291	11921	Introduction of pigment into skin (6.1 to 20.0 sq cm) to correct color defect
1003292	11922	Introduction of pigment into skin to correct color defect
1003294	11950	Injection of 1 cc or less filling material into tissue
1003295	11951	Injection of 1.1 to 5.0 cc filling material, beneath the skin
1003296	11952	Injection of 5.1 to 10.0 cc filling material into tissue
1003297	11954	Injection of over 10.0 cc filling material, beneath the skin
1003298	11960	Insertion of tissue expanders
1003299	11970	Replacement of tissue expander with permanent prosthesis
1003300	11971	Removal of tissue expanders
1003302	11976	Removal of implantable contraceptive capsules
1003304	11980	Insertion of hormone pellets beneath the skin
1003305	11981	Insertion of drug delivery implant into tissue
1003306	11982	Removal of drug delivery implant from tissue
1003307	11983	Removal with reinsertion of drug delivery implant into tissue
1003311	12001	Repair of wound (2.5 centimeters or less) of the scalp, neck, underarms, trunk, arms and/or legs
1003312	12002	Repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs
1003313	12004	Repair of wound (7.6 to 12.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs
1003314	12005	Repair of wound (12.6 to 20.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs
1003315	12006	Repair of wound (20.1 to 30.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs
1003316	12007	Repair of wound (over 30.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs
1003318	12011	Repair of wound (2.5 centimeters or less) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003319	12013	Repair of wound (2.6 to 5.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003320	12014	Repair of wound (5.1 to 7.5 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003321	12015	Repair of wound (7.6 to 12.5 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003322	12016	Repair of wound (12.6 to 20.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003323	12017	Repair of wound (20.1 to 30.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003324	12018	Repair of wound (over 30.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes
1003326	12020	Repair of separation of wound closure
1003327	12021	Repair of separation of wound closure with insertion of packing
1003330	12031	Repair of wound (2.5 centimeters or less) of the scalp, underarms, trunk, arms, and/or legs
1003331	12032	Repair of wound (2.6 to 7.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs
1003332	12034	Repair of wound (7.6 to 12.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs
1003333	12035	Repair of wound (12.6 to 20.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs
1003334	12036	Repair of wound (20.1 to 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs
1003335	12037	Repair of wound (over 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs
1003337	12041	Repair of wound (2.5 centimeters or less) of neck, hands, feet, and/or genitals
1003338	12042	Repair of wound (2.6 to 7.5 centimeters) of neck, hands, feet, and/or genitals
